,R,G,B,PH,N,P,K
R17,143.9437559,99.15296481,60.83704759,4.7,0.09,2.68,148.81
R18,139.6785494,100.2184832,69.28956918,4.5,0.11,3.8,107.35
R19,138.121229,104.8267937,78.76508707,4.7,0.09,2.33,96.19
R20,140.0454942,99.90170351,66.75140627,4.9,0.09,1.97,90.88
R21,131.8372145,99.76754404,77.5796447,4.6,0.09,20.74,65.9
R22,136.1997088,104.6017239,79.33828215,4.8,0.09,4.62,67.49
R23,134.026294,100.6128453,77.56626908,4.8,0.07,6.82,58.99
R24,136.7047475,104.9439906,79.48927836,4.9,0.07,4.07,82.37
R25,134.9470938,103.8904055,82.09210878,4.6,0.08,9.11,48.89
R26,133.1931761,103.3407247,83.7640043,4.7,0.08,10.89,55.27
R27,140.6760075,107.7148338,86.15417133,4.7,0.08,7.96,58.99
R28,133.744134,102.1539714,81.16988074,4.6,0.07,9.2,48.36
R29,134.8315115,102.6348652,78.65331685,4.9,0.08,11.21,72.28
R30,136.0137639,102.371057,78.32576974,4.6,0.08,15.65,100.44
R31,142.7484142,108.2475465,83.52410824,4.8,0.06,9.79,39.33
R32,139.2908958,105.9772261,82.30523292,4.87,0.08,6.63,50.49
R33,115.7934821,78.36171658,58.16506662,4.80,0.06,8.88,106.78
R34,112.1787302,75.04022533,57.25921993,4.79,0.11,11.88,117.04
R35,113.5572646,78.00942405,59.81248299,4.76,0.11,16.53,142.71
R36,110.1571328,76.97658038,61.04739743,4.41,0.07,12.23,121.15
R37,102.4179562,73.63961924,64.98228384,4.28,0.07,33.6,59.55
R38,138.9267185,105.740203,80.89439232,4.18,0.07,30.95,55.44
R39,135.86394,106.530967,87.49918725,4.35,0.08,29.75,102.67
R40,132.6969308,102.3230909,81.50701318,4.81,0.11,95.3,103.7
R41,135.6609869,103.8412214,83.68456488,4.19,0.04,69.7,97.54
R42,137.2659697,104.4925452,84.69435705,4.41,0.1,36.85,69.82
R43,136.3379749,107.1770416,90.08418965,4.30,0.08,42.45,71.87
R44,135.9210274,104.4094412,86.27229527,4.31,0.09,49.65,100.62
R45,137.3434442,104.9628885,84.43925793,4.41,0.1,53.45,102.67
R46,135.7012075,101.4301137,79.18777284,4.42,0.11,29.45,51.34
R47,137.1794891,104.6137513,84.26551287,4.67,0.07,36.1,101.64
R48,203.3808265,155.7541071,126.215202,4.47,0.07,44.6,72.9
R49,143.5377972,99.23002585,67.80370342,5.07,0.03,4.58,67.76
R50,136.9130084,98.05774435,73.89877656,4.75,0.03,7.7,64.68
R51,112.5215555,78.06986107,59.81980097,4.96,0.04,7.33,58.52
R52,116.3992449,79.33503729,59.73753207,4.88,0.04,10.43,88.3
R53,105.1404869,74.75511834,63.39706106,4.75,0.05,19.85,39.01
R54,140.15094,100.7701452,71.73834913,4.72,0.04,15.7,32.85
R55,136.9303513,103.5131805,81.6066293,4.60,0.04,17.65,56.47
R56,133.9499816,101.3027411,77.07888075,5.14,0.04,62.7,72.9
R57,132.4422283,98.73807124,76.01084607,4.71,0.02,19.6,47.23
R58,135.3501169,101.6344959,78.37842102,4.62,0.03,15.25,49.28
R59,130.0241345,99.55477051,80.49945356,4.56,0.04,26.4,55.44
R60,131.0452365,98.06205276,77.47857648,4.47,0.02,25.1,50.31
R61,138.578008,102.889314,80.57172556,4.82,0.05,28.05,68.79
R62,136.1707203,101.6859934,79.00439904,4.57,0.05,29,61.6
R63,137.7095139,104.5543605,81.94002595,5.16,0.04,16.85,58.52
R64,136.0139435,103.5642193,81.19798758,5.03,0.04,12.9,37.99
